Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8,556,20,2006,3,92,14.03,9.2,2.93,2.85,37.37910000000002
72,119,18,1994,4,92,4.36,1.71,3.0,0.23,9.232639624958377
80,208,23,2004,8,84,6.82,1.53,0.05,0.08,8.615345003607507
118,586,20,2010,10,1,3.5,2.64,0.0,0.67,6.733603073486972
151,268,20,2007,0,76,3.66,1.63,0.0,0.53,5.784246847786715
154,80,3,2006,9,1,3.13,1.94,0.07,0.58,5.691359293600703
167,61,13,2008,8,7,2.72,1.87,0.0,0.84,5.483418055884173
182,105,10,2012,7,7,2.43,2.15,0.0,0.62,5.176594081094343
232,501,18,1991,0,92,2.42,0.91,1.15,0.13,4.610450420494334
234,297,20,2009,10,111,1.89,1.99,0.22,0.48,4.5978036203500325
285,502,20,2011,0,92,2.14,1.2,0.37,0.4,4.1148771164017255
287,65,20,2007,3,129,2.13,1.5,0.05,0.42,4.109272392237002
346,241,12,2001,4,114,2.08,1.09,0.15,0.33,3.6266004672577234
375,261,9,1985,0,92,1.64,0.38,1.42,0.06,3.5049773231427808
449,304,22,2010,7,42,1.99,0.82,0.03,0.27,3.131547985513302
499,351,13,2012,6,42,0.71,1.51,0.06,0.61,2.889304468707327
514,155,13,2015,10,42,0.4,1.98,0.05,0.42,2.841167728353448
525,548,12,2003,2,125,1.32,1.06,0.04,0.38,2.807885534215511
609,82,12,2001,6,5,1.13,1.12,0.06,0.22,2.5312093688446105
610,368,8,2000,0,92,1.55,0.75,0.16,0.06,2.5256157074692003
626,332,22,2013,10,129,2.1,0.2,0.0,0.17,2.470512538625191
633,209,22,2011,8,84,1.44,0.73,0.04,0.22,2.436663774351635
638,444,2,1998,4,111,1.26,0.61,0.46,0.08,2.4076652290434883
646,288,24,2015,10,42,2.07,0.08,0.0,0.26,2.395314323563479
672,259,4,1995,4,92,0.69,0.14,1.48,0.05,2.370613019388271
675,134,4,1998,7,41,0.0,0.0,2.34,0.01,2.3572782925066798
686,194,11,1997,0,129,0.79,1.35,0.04,0.14,2.3070804216748892
701,578,1,2015,0,73,0.0,0.0,2.28,0.0,2.2718865962459716
787,366,11,1998,7,116,0.94,0.07,1.05,0.04,2.0906245639331336
822,295,1,2013,7,92,0.89,0.57,0.46,0.13,2.058270312512513
861,446,3,2010,4,111,0.99,0.8,0.0,0.18,1.9549043714572165
945,221,8,1998,9,92,0.83,0.06,0.93,0.0,1.8432174657076879
973,315,12,2003,6,129,1.25,0.29,0.0,0.24,1.7709343046352763
1092,519,11,2001,10,7,1.09,0.49,0.02,0.07,1.669032865610266
1123,256,22,2010,9,84,1.02,0.48,0.0,0.14,1.6417899602548451
1150,89,20,2008,9,72,0.95,0.48,0.01,0.15,1.6113678863547454
1152,117,12,2005,0,129,1.3,0.23,0.0,0.07,1.6041942239216689
1168,263,22,2010,0,140,0.95,0.5,0.0,0.14,1.5915558512999064
1196,290,22,2010,0,129,0.84,0.56,0.0,0.15,1.5460152527397968
1236,573,9,1984,8,89,0.18,0.06,1.27,0.01,1.521950845095396
1237,330,11,1998,6,42,1.45,0.04,0.0,0.04,1.521950845095396
1319,31,24,2015,0,140,0.86,0.46,0.0,0.13,1.4512205391125903
1368,267,15,2006,0,76,0.58,0.51,0.0,0.32,1.4181445344011387
1374,113,7,1994,4,138,0.97,0.37,0.03,0.05,1.4181445344011387
1389,78,12,2002,6,31,0.03,1.05,0.02,0.3,1.3963734821574616
1401,532,23,2003,0,7,0.96,0.37,0.0,0.05,1.3772323036931715
1422,263,13,2010,0,140,0.55,0.6,0.0,0.22,1.36476481344396
1502,236,12,2002,6,22,0.64,0.5,0.0,0.17,1.317223435249918
1508,416,11,1999,1,125,0.57,0.67,0.0,0.07,1.3139327587930696
1514,58,23,2004,6,42,0.84,0.43,0.0,0.04,1.3096789287564818
1554,507,10,2005,9,42,1.22,0.05,0.0,0.0,1.273164037386052
1569,33,11,1994,2,114,0.39,0.26,0.53,0.08,1.2683435734004644
1570,577,1,2016,0,73,0.0,0.0,1.27,0.0,1.2596300549794672
1611,464,23,2005,0,7,0.82,0.38,0.0,0.04,1.2365203426825646
1615,353,23,2004,0,84,0.92,0.2,0.07,0.04,1.2275102642300963
1691,505,5,2003,6,125,0.86,0.32,0.0,0.02,1.1898857585753182
1722,22,13,2008,8,42,0.74,0.26,0.02,0.15,1.1701595123993822
1756,488,11,1997,6,41,0.65,0.44,0.0,0.08,1.161256249619287
1777,122,6,2003,3,92,0.5,0.16,0.46,0.03,1.1484452537710899
1784,9,11,2000,0,129,0.64,0.43,0.0,0.07,1.1422960041792753
1788,225,13,2007,10,114,0.31,0.03,0.76,0.04,1.1416902942178002
1818,129,22,2011,0,42,0.72,0.3,0.01,0.09,1.1289830678225732
1858,580,4,1999,11,72,0.0,0.0,1.1,0.0,1.101238264879436
1861,162,9,1989,7,89,0.0,0.0,1.1,0.0,1.101238264879436
1888,100,11,1997,9,126,0.0,0.0,1.02,0.07,1.0912531051866419
1894,447,22,2010,6,111,0.74,0.26,0.0,0.09,1.0880135146244871
1910,103,13,2011,6,31,0.27,0.59,0.01,0.21,1.0771764748663233
1951,308,22,2008,8,42,0.65,0.3,0.01,0.1,1.0594245798465591
1953,231,12,2003,0,136,0.52,0.41,0.0,0.14,1.0594245798465591
1955,339,8,1998,10,86,1.02,0.04,0.0,0.01,1.0594245798465591
1959,104,10,2001,7,139,1.03,0.02,0.0,0.0,1.0594245798465591
1986,326,20,2009,1,42,0.62,0.32,0.0,0.1,1.0536010682402017
2000,88,12,2006,9,72,0.87,0.03,0.0,0.14,1.0451130165197862
2004,247,11,1998,6,5,0.91,0.1,0.0,0.03,1.0451130165197862
2005,265,22,2009,0,7,0.62,0.33,0.0,0.09,1.0451130165197862
2027,56,22,2011,8,42,0.61,0.32,0.01,0.08,1.0331156846789364
2030,518,22,2007,8,135,0.87,0.05,0.02,0.08,1.0168805014287647
2046,448,1,2011,4,111,0.44,0.46,0.01,0.09,1.006537304566128
2078,555,20,2010,3,125,0.89,0.04,0.0,0.06,0.9967434058194022
2109,572,20,2010,7,92,0.49,0.26,0.16,0.08,0.9812807615515772
2114,330,8,1998,6,42,0.94,0.04,0.0,0.01,0.9812807615515772
2128,485,3,2006,9,89,0.09,0.02,0.86,0.01,0.9710451320688107
2141,333,22,2015,10,129,0.77,0.1,0.0,0.1,0.9710451320688107
2145,121,0,1981,4,16,0.9,0.05,0.0,0.01,0.9710451320688107
2171,371,1,2011,9,92,0.4,0.36,0.13,0.07,0.9588531122630642
2219,280,12,2006,10,114,0.78,0.03,0.0,0.13,0.9329483370888709
2253,143,13,2010,10,42,0.52,0.28,0.0,0.12,0.9195264594216878
2269,449,6,2006,6,111,0.71,0.18,0.0,0.03,0.9195264594216878
2319,156,20,2008,10,42,0.29,0.52,0.0,0.09,0.8992719715053713
2370,309,15,2004,11,72,0.32,0.26,0.12,0.17,0.8824936577219282
2394,520,12,2006,10,7,0.72,0.03,0.0,0.12,0.8711662532233345
2409,484,13,2012,7,89,0.2,0.15,0.45,0.07,0.8711662532233345
2426,2,22,2010,10,42,0.32,0.43,0.02,0.09,0.8614302759246308
2488,45,16,2014,8,129,0.43,0.21,0.01,0.19,0.8312046863817207
