Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3,0.23,
80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,
118,Zumba Fitness,Wii,2010,Sports,505 Games,3.5,2.64,0,0.67,
151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.66,1.63,0,0.53,
154,Cooking Mama,DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,
167,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.72,1.87,0,0.84,
182,Diablo III,PC,2012,Role-Playing,Activision,2.43,2.15,0,0.62,
232,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,
234,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1.89,1.99,0.22,0.48,
285,The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,2.14,1.2,0.37,0.4,
287,Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,
346,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,
375,Kung Fu,NES,1985,Action,Nintendo,1.64,0.38,1.42,0.06,
449,Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,1.99,0.82,0.03,0.27,
499,Need for Speed: Most Wanted,PS3,2012,Racing,Electronic Arts,0.71,1.51,0.06,0.61,
514,FIFA 16,PS3,2015,Sports,Electronic Arts,0.4,1.98,0.05,0.42,
525,WWE SmackDown! Here Comes the Pain,PS2,2003,Fighting,THQ,1.32,1.06,0.04,0.38,
609,Crazy Taxi,PS2,2001,Racing,Acclaim Entertainment,1.13,1.12,0.06,0.22,
610,Perfect Dark,N64,2000,Action,Nintendo,1.55,0.75,0.16,0.06,
626,NBA 2K14,X360,2013,Sports,Take-Two Interactive,2.1,0.2,0,0.17,
633,Halo: Combat Evolved Anniversary,X360,2011,Shooter,Microsoft Game Studios,1.44,0.73,0.04,0.22,
638,Sonic Adventure,DC,1998,Platform,Sega,1.26,0.61,0.46,0.08,
646,Madden NFL 16,XOne,2015,Sports,Electronic Arts,2.07,0.08,0,0.26,
672,Kirby's Dream Land 2,GB,1995,Platform,Nintendo,0.69,0.14,1.48,0.05,
675,Dragon Warrior Monsters,GB,1998,Role-Playing,Eidos Interactive,0,0,2.34,0.01,
686,Grand Theft Auto,PS,1997,Action,Take-Two Interactive,0.79,1.35,0.04,0.14,
701,Yokai Watch Busters,3DS,2015,Action,Level 5,0,0,2.28,0,
787,Parasite Eve,PS,1998,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,
822,Mario & Luigi: Dream Team,3DS,2013,Role-Playing,Nintendo,0.89,0.57,0.46,0.13,
861,Sonic Classic Collection,DS,2010,Platform,Sega,0.99,0.8,0,0.18,
945,"Hey You, Pikachu!",N64,1998,Simulation,Nintendo,0.83,0.06,0.93,0,
973,Midnight Club II,PS2,2003,Racing,Take-Two Interactive,1.25,0.29,0,0.24,
1092,Tony Hawk's Pro Skater 3,PS,2001,Sports,Activision,1.09,0.49,0.02,0.07,
1123,Kinectimals,X360,2010,Simulation,Microsoft Game Studios,1.02,0.48,0,0.14,
1150,Dance Dance Revolution: Hottest Party 2,Wii,2008,Simulation,Konami Digital Entertainment,0.95,0.48,0.01,0.15,
1152,Dollar Dash,PS2,2005,Action,Take-Two Interactive,1.3,0.23,0,0.07,
1168,LEGO Harry Potter: Years 1-4,X360,2010,Action,Warner Bros. Interactive Entertainment,0.95,0.5,0,0.14,
1196,Mafia II,X360,2010,Action,Take-Two Interactive,0.84,0.56,0,0.15,
1236,Xevious,NES,1984,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,
1237,NASCAR 99,PS,1998,Racing,Electronic Arts,1.45,0.04,0,0.04,
1319,Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.46,0,0.13,
1368,LEGO Star Wars II: The Original Trilogy,PSP,2006,Action,LucasArts,0.58,0.51,0,0.32,
1374,Disney's The Lion King,GEN,1994,Platform,Virgin Interactive,0.97,0.37,0.03,0.05,
1389,Colin McRae Rally 3,PS2,2002,Racing,Codemasters,0.03,1.05,0.02,0.3,
1401,True Crime: Streets of LA,XB,2003,Action,Activision,0.96,0.37,0,0.05,
1422,LEGO Harry Potter: Years 1-4,PS3,2010,Action,Warner Bros. Interactive Entertainment,0.55,0.6,0,0.22,
1502,IHRA Drag Racing 2,PS2,2002,Racing,Bethesda Softworks,0.64,0.5,0,0.17,
1508,Rugrats Studio Tour,PS,1999,Adventure,THQ,0.57,0.67,0,0.07,
1514,Burnout 3: Takedown,XB,2004,Racing,Electronic Arts,0.84,0.43,0,0.04,
1554,The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1.22,0.05,0,0,
1569,Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,
1570,Yokai Watch 3,3DS,2016,Action,Level 5,0,0,1.27,0,
1611,Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision,0.82,0.38,0,0.04,
1615,Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,
1691,The Simpsons: Road Rage,GBA,2003,Racing,THQ,0.86,0.32,0,0.02,
1722,Army of Two,PS3,2008,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,
1756,Test Drive: Off Road,PS,1997,Racing,Eidos Interactive,0.65,0.44,0,0.08,
1777,Donkey Konga,GC,2003,Misc,Nintendo,0.5,0.16,0.46,0.03,
1784,Action Bass,PS,2000,Action,Take-Two Interactive,0.64,0.43,0,0.07,
1788,Hot Shots Golf: Out of Bounds,PS3,2007,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,
1818,Dragon Age II,X360,2011,Action,Electronic Arts,0.72,0.3,0.01,0.09,
1858,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,GB,1999,Strategy,Konami Digital Entertainment,0,0,1.1,0,
1861,Famicom Jump: Eiyuu Retsuden,NES,1989,Role-Playing,Namco Bandai Games,0,0,1.1,0,
1888,Densha De Go!,PS,1997,Simulation,Taito,0,0,1.02,0.07,
1894,Sonic Free Riders,X360,2010,Racing,Sega,0.74,0.26,0,0.09,
1910,DiRT 3,PS3,2011,Racing,Codemasters,0.27,0.59,0.01,0.21,
1951,Mercenaries 2: World in Flames,X360,2008,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,
1953,Hulk,PS2,2003,Action,Universal Interactive,0.52,0.41,0,0.14,
1955,NFL Blitz,N64,1998,Sports,Midway Games,1.02,0.04,0,0.01,
1959,Diablo II: Lord of Destruction,PC,2001,Role-Playing,Vivendi Games,1.03,0.02,0,0,
1986,MySims Agents,Wii,2009,Adventure,Electronic Arts,0.62,0.32,0,0.1,
2000,Dance Dance Revolution SuperNOVA,PS2,2006,Simulation,Konami Digital Entertainment,0.87,0.03,0,0.14,
2004,Jeremy McGrath Supercross 98,PS,1998,Racing,Acclaim Entertainment,0.91,0.1,0,0.03,
2005,LEGO Indiana Jones 2: The Adventure Continues,X360,2009,Action,Activision,0.62,0.33,0,0.09,
2027,Bulletstorm,X360,2011,Shooter,Electronic Arts,0.61,0.32,0.01,0.08,
2030,Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,Ubisoft,0.87,0.05,0.02,0.08,
2046,Sonic Generations,3DS,2011,Platform,Sega,0.44,0.46,0.01,0.09,
2078,Wheel of Fortune,Wii,2010,Misc,THQ,0.89,0.04,0,0.06,
2109,Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.49,0.26,0.16,0.08,
2114,NASCAR 99,N64,1998,Racing,Electronic Arts,0.94,0.04,0,0.01,
2128,Tamagotchi Connection: Corner Shop 2,DS,2006,Simulation,Namco Bandai Games,0.09,0.02,0.86,0.01,
2141,NBA 2K16,X360,2015,Sports,Take-Two Interactive,0.77,0.1,0,0.1,
2145,Donkey Kong Junior,2600,1981,Platform,Atari,0.9,0.05,0,0.01,
2171,PilotWings Resort,3DS,2011,Simulation,Nintendo,0.4,0.36,0.13,0.07,
2219,MLB 06: The Show,PS2,2006,Sports,Sony Computer Entertainment,0.78,0.03,0,0.13,
2253,EA Sports Active 2,PS3,2010,Sports,Electronic Arts,0.52,0.28,0,0.12,
2269,Sonic Riders,GC,2006,Racing,Sega,0.71,0.18,0,0.03,
2319,FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.29,0.52,0,0.09,
2370,Metal Gear Ac!d,PSP,2004,Strategy,Konami Digital Entertainment,0.32,0.26,0.12,0.17,
2394,Tony Hawk's Project 8,PS2,2006,Sports,Activision,0.72,0.03,0,0.12,
2409,Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.15,0.45,0.07,
2426,2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.43,0.02,0.09,
2488,Borderlands 2,PSV,2014,Shooter,Take-Two Interactive,0.43,0.21,0.01,0.19,
2533,Dragon Warrior III,GB,2000,Role-Playing,Enix Corporation,0,0,0.81,0,
2534,Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,2006,Action,Disney Interactive Studios,0.73,0.03,0,0.06,
2547,Pro Evolution Soccer 2010,X360,2009,Sports,Konami Digital Entertainment,0.12,0.58,0.03,0.08,
2618,Dead Island: Riptide,X360,2013,Action,Deep Silver,0.44,0.27,0.01,0.07,
2638,Puzzler World,DS,2009,Puzzle,Ubisoft,0.41,0.3,0,0.07,
2648,UFC Personal Trainer: The Ultimate Fitness System,X360,2011,Sports,THQ,0.53,0.19,0,0.06,
2655,James Bond 007: Nightfire,GC,2002,Shooter,Electronic Arts,0.6,0.16,0,0.02,
2667,Need For Speed: Undercover,PSP,2008,Racing,Electronic Arts,0.23,0.32,0.03,0.19,
2696,Street Fighter Alpha: Warriors' Dreams,PS,1995,Fighting,Virgin Interactive,0.17,0.11,0.43,0.05,
2773,Mario & Luigi: Paper Jam,3DS,2015,Role-Playing,Nintendo,0.16,0.3,0.25,0.04,
2868,Dynasty Warriors 6,PS3,2007,Action,Tecmo Koei,0.18,0.08,0.41,0.04,
2893,WWE SmackDown vs. Raw 2011,PSP,2010,Fighting,THQ,0.22,0.31,0,0.17,
2902,Spider-Man 2,PSP,2005,Action,Activision,0.35,0.21,0,0.14,
2919,Jade Empire,XB,2005,Role-Playing,Microsoft Game Studios,0.48,0.19,0,0.03,
2928,Ape Escape: On the Loose,PSP,2005,Platform,Sony Computer Entertainment,0.52,0.01,0.12,0.05,
2955,Skylanders: Trap Team,PS3,2014,Action,Activision,0.24,0.33,0,0.12,
2988,Hot Shots Golf: Open Tee 2,PSP,2007,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.08,
3000,Red Steel,Wii,2006,Shooter,Ubisoft,0.55,0.04,0.04,0.05,
3027,Taiko no Tatsujin Wii,Wii,2008,Misc,Namco Bandai Games,0,0,0.67,0,
3038,TV Show King Party,Wii,2008,Puzzle,Ubisoft,0.18,0.41,0,0.08,
3047,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,Adventure,Capcom,0.33,0.05,0.25,0.04,
3049,Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,0.25,0.26,0.05,0.11,
3108,Monster Jam: Maximum Destruction,PS2,2002,Racing,Ubisoft,0.32,0.25,0,0.08,
3112,Drawn to Life: The Next Chapter,DS,2009,Puzzle,THQ,0.45,0.14,0,0.06,
3124,Mary-Kate and Ashley: Magical Mystery Mall,PS,2000,Adventure,Acclaim Entertainment,0.36,0.24,0,0.04,
3133,Sengoku Basara: Samurai Heroes,PS3,2010,Action,Capcom,0.17,0.04,0.4,0.03,
3144,Max Payne 2: The Fall of Max Payne,XB,2003,Shooter,Take-Two Interactive,0.47,0.15,0,0.02,
3204,Harry Potter and the Half-Blood Prince,DS,2009,Action,Electronic Arts,0.21,0.35,0,0.07,
3218,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",X360,2009,Shooter,Activision,0.34,0.23,0,0.06,
3237,Namco Museum,GC,2002,Misc,Namco Bandai Games,0.48,0.13,0,0.02,
3310,Half-Life 2,XB,2005,Shooter,Electronic Arts,0.37,0.21,0,0.03,
3356,Rayman Arena,PS2,2001,Racing,Ubisoft,0.29,0.23,0,0.08,
3399,NFL Blitz 2001,PS,2000,Sports,Midway Games,0.33,0.22,0,0.04,
3437,Kirby's Dream Course,SNES,1994,Sports,Nintendo,0,0,0.59,0,
3455,The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,0.02,0.18,0,0.39,
3462,Sammy Sosa High Heat Baseball 2001,PS,2000,Sports,3DO,0.32,0.22,0,0.04,
3484,NBA 2K7,X360,2006,Sports,Take-Two Interactive,0.53,0,0,0.04,
3550,Bratz 4 Real,DS,2007,Adventure,THQ,0.29,0.22,0,0.06,
3551,RalliSport Challenge,XB,2002,Racing,Microsoft Game Studios,0.39,0.16,0,0.02,
3608,Madagascar: Escape 2 Africa,Wii,2008,Action,Activision,0.32,0.18,0,0.05,
3686,Top Gun: Fire at Will!,PS,1996,Misc,Microprose,0.3,0.21,0,0.04,
3715,SRS: Street Racing Syndicate,PS2,2004,Racing,Namco Bandai Games,0.26,0.21,0,0.07,
3776,Gex 3: Deep Cover Gecko,PS,1999,Platform,Eidos Interactive,0.3,0.2,0,0.03,
3778,Blitz: The League,XB,2004,Sports,Midway Games,0.4,0.11,0,0.02,
3813,Batman: Arkham Origins Blackgate,PSV,2013,Action,Warner Bros. Interactive Entertainment,0.2,0.2,0,0.13,
3822,Pachi-Slot Aruze Oukoku 4,PS,2000,Misc,Aruze Corp,0,0,0.49,0.03,
3892,SoulCalibur: Broken Destiny,PSP,2009,Fighting,Namco Bandai Games,0.12,0.2,0.07,0.12,
3896,Goldeneye 007: Reloaded,X360,2011,Shooter,Activision,0.25,0.21,0,0.05,
3911,Major League Baseball 2K10,X360,2010,Sports,Take-Two Interactive,0.47,0,0,0.04,
3917,Dai-4-Ji Super Robot Taisen S,PS,1996,Strategy,Banpresto,0,0,0.48,0.03,
3928,Harry Potter and the Half-Blood Prince,PSP,2009,Action,Electronic Arts,0.18,0.21,0,0.12,
3944,Guitar Hero Live,XOne,2015,Misc,Activision,0.29,0.17,0,0.05,
3949,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GBA,2004,Action,THQ,0.36,0.13,0,0.01,
3952,Sonic Riders,PS2,2006,Racing,Sega,0.42,0.02,0,0.07,
3955,Midnight Magic,2600,1983,Action,Atari,0.47,0.03,0,0.01,
