Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
8,556,20,2006,3,92,14.03,9.2,2.93,2.85
72,119,18,1994,4,92,4.36,1.71,3,0.23
80,208,23,2004,8,84,6.82,1.53,0.05,0.08
118,586,20,2010,10,1,3.5,2.64,0,0.67
151,268,20,2007,0,76,3.66,1.63,0,0.53
154,80,3,2006,9,1,3.13,1.94,0.07,0.58
167,61,13,2008,8,7,2.72,1.87,0,0.84
182,105,10,2012,7,7,2.43,2.15,0,0.62
232,501,18,1991,0,92,2.42,0.91,1.15,0.13
234,297,20,2009,10,111,1.89,1.99,0.22,0.48
285,502,20,2011,0,92,2.14,1.2,0.37,0.4
287,65,20,2007,3,129,2.13,1.5,0.05,0.42
346,241,12,2001,4,114,2.08,1.09,0.15,0.33
375,261,9,1985,0,92,1.64,0.38,1.42,0.06
449,304,22,2010,7,42,1.99,0.82,0.03,0.27
499,351,13,2012,6,42,0.71,1.51,0.06,0.61
514,155,13,2015,10,42,0.4,1.98,0.05,0.42
525,548,12,2003,2,125,1.32,1.06,0.04,0.38
609,82,12,2001,6,5,1.13,1.12,0.06,0.22
610,368,8,2000,0,92,1.55,0.75,0.16,0.06
626,332,22,2013,10,129,2.1,0.2,0,0.17
633,209,22,2011,8,84,1.44,0.73,0.04,0.22
638,444,2,1998,4,111,1.26,0.61,0.46,0.08
646,288,24,2015,10,42,2.07,0.08,0,0.26
672,259,4,1995,4,92,0.69,0.14,1.48,0.05
675,134,4,1998,7,41,0,0,2.34,0.01
686,194,11,1997,0,129,0.79,1.35,0.04,0.14
701,578,1,2015,0,73,0,0,2.28,0
787,366,11,1998,7,116,0.94,0.07,1.05,0.04
822,295,1,2013,7,92,0.89,0.57,0.46,0.13
861,446,3,2010,4,111,0.99,0.8,0,0.18
945,221,8,1998,9,92,0.83,0.06,0.93,0
973,315,12,2003,6,129,1.25,0.29,0,0.24
1092,519,11,2001,10,7,1.09,0.49,0.02,0.07
1123,256,22,2010,9,84,1.02,0.48,0,0.14
1150,89,20,2008,9,72,0.95,0.48,0.01,0.15
1152,117,12,2005,0,129,1.3,0.23,0,0.07
1168,263,22,2010,0,140,0.95,0.5,0,0.14
1196,290,22,2010,0,129,0.84,0.56,0,0.15
1236,573,9,1984,8,89,0.18,0.06,1.27,0.01
1237,330,11,1998,6,42,1.45,0.04,0,0.04
1319,31,24,2015,0,140,0.86,0.46,0,0.13
1368,267,15,2006,0,76,0.58,0.51,0,0.32
1374,113,7,1994,4,138,0.97,0.37,0.03,0.05
1389,78,12,2002,6,31,0.03,1.05,0.02,0.3
1401,532,23,2003,0,7,0.96,0.37,0,0.05
1422,263,13,2010,0,140,0.55,0.6,0,0.22
1502,236,12,2002,6,22,0.64,0.5,0,0.17
1508,416,11,1999,1,125,0.57,0.67,0,0.07
1514,58,23,2004,6,42,0.84,0.43,0,0.04
1554,507,10,2005,9,42,1.22,0.05,0,0
1569,33,11,1994,2,114,0.39,0.26,0.53,0.08
1570,577,1,2016,0,73,0,0,1.27,0
1611,464,23,2005,0,7,0.82,0.38,0,0.04
1615,353,23,2004,0,84,0.92,0.2,0.07,0.04
1691,505,5,2003,6,125,0.86,0.32,0,0.02
1722,22,13,2008,8,42,0.74,0.26,0.02,0.15
1756,488,11,1997,6,41,0.65,0.44,0,0.08
1777,122,6,2003,3,92,0.5,0.16,0.46,0.03
1784,9,11,2000,0,129,0.64,0.43,0,0.07
1788,225,13,2007,10,114,0.31,0.03,0.76,0.04
1818,129,22,2011,0,42,0.72,0.3,0.01,0.09
1858,580,4,1999,11,72,0,0,1.1,0
1861,162,9,1989,7,89,0,0,1.1,0
1888,100,11,1997,9,126,0,0,1.02,0.07
1894,447,22,2010,6,111,0.74,0.26,0,0.09
1910,103,13,2011,6,31,0.27,0.59,0.01,0.21
1951,308,22,2008,8,42,0.65,0.3,0.01,0.1
1953,231,12,2003,0,136,0.52,0.41,0,0.14
1955,339,8,1998,10,86,1.02,0.04,0,0.01
1959,104,10,2001,7,139,1.03,0.02,0,0
1986,326,20,2009,1,42,0.62,0.32,0,0.1
2000,88,12,2006,9,72,0.87,0.03,0,0.14
2004,247,11,1998,6,5,0.91,0.1,0,0.03
2005,265,22,2009,0,7,0.62,0.33,0,0.09
