Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,10707,26,2006.0,10,356,41.49,29.02,3.77,8.46,82.74
2,9064,11,1985.0,4,356,29.08,3.58,6.81,0.77,40.24
3,5410,26,2008.0,6,356,15.85,12.88,3.79,3.31,35.82
4,10709,26,2009.0,10,356,15.75,11.01,3.28,2.96,33.0
5,7136,5,1996.0,7,356,11.27,8.89,10.22,1.0,31.37
6,9441,5,1989.0,5,356,23.2,2.26,4.22,0.58,30.26
7,6532,4,2006.0,4,356,11.38,9.23,6.5,2.9,30.01
9,6535,26,2009.0,4,356,14.59,7.06,4.7,2.26,28.62
10,2521,11,1984.0,8,356,26.93,0.63,0.28,0.47,28.31
11,6600,4,2005.0,9,356,9.07,11.0,1.93,2.75,24.76
12,5409,4,2005.0,6,356,9.81,7.57,4.13,1.92,23.42
13,7123,5,1999.0,7,356,9.0,6.18,7.2,0.71,23.1
14,10700,26,2007.0,10,356,8.94,8.03,3.6,2.15,22.72
15,10701,26,2009.0,10,356,9.09,8.59,2.53,1.79,22.0
16,4774,28,2010.0,3,320,14.97,4.94,0.24,1.67,21.82
17,3606,17,2013.0,0,489,7.01,9.27,0.97,4.14,21.4
18,3610,16,2004.0,0,489,9.43,0.4,0.41,10.57,20.81
19,9078,23,1990.0,4,356,12.78,3.75,3.54,0.55,20.61
20,984,4,2005.0,3,356,4.75,9.26,4.16,2.05,20.22
21,7121,4,2006.0,7,356,6.42,4.52,6.04,1.37,18.36
22,9071,5,1989.0,4,356,10.83,2.71,4.18,0.42,18.14
23,9066,11,1988.0,4,356,9.54,3.44,3.84,0.46,17.28
24,3606,28,2013.0,0,489,9.63,5.31,0.06,1.38,16.38
25,3611,16,2002.0,0,489,8.41,5.49,0.47,1.78,16.15
26,7137,6,2002.0,7,356,6.06,3.9,5.38,0.5,15.85
27,7115,4,2010.0,7,356,5.57,3.28,5.65,0.82,15.32
28,982,4,2005.0,5,356,3.44,5.36,5.32,1.18,15.3
29,3587,16,2001.0,6,451,6.85,5.09,1.87,1.16,14.98
30,1199,28,2011.0,8,21,9.03,4.28,0.13,1.32,14.76
31,7159,5,1998.0,7,356,5.89,5.04,3.12,0.59,14.64
32,1193,28,2010.0,8,21,9.67,3.73,0.11,1.13,14.64
