Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8,556,20,2006.0,3,92,14.03,9.2,2.93,2.85,29.02
72,119,18,1994.0,4,92,4.36,1.71,3.0,0.23,9.3
80,208,23,2004.0,8,84,6.82,1.53,0.05,0.08,8.49
118,586,20,2010.0,10,1,3.5,2.64,0.0,0.67,6.81
151,268,20,2007.0,0,76,3.66,1.63,0.0,0.53,5.83
154,80,3,2006.0,9,1,3.13,1.94,0.07,0.58,5.72
167,61,13,2008.0,8,7,2.72,1.87,0.0,0.84,5.43
182,105,10,2012.0,7,7,2.43,2.15,0.0,0.62,5.2
232,501,18,1991.0,0,92,2.42,0.91,1.15,0.13,4.61
234,297,20,2009.0,10,111,1.89,1.99,0.22,0.48,4.58
285,502,20,2011.0,0,92,2.14,1.2,0.37,0.4,4.1
287,65,20,2007.0,3,129,2.13,1.5,0.05,0.42,4.1
346,241,12,2001.0,4,114,2.08,1.09,0.15,0.33,3.64
375,261,9,1985.0,0,92,1.64,0.38,1.42,0.06,3.5
449,304,22,2010.0,7,42,1.99,0.82,0.03,0.27,3.11
499,351,13,2012.0,6,42,0.71,1.51,0.06,0.61,2.89
514,155,13,2015.0,10,42,0.4,1.98,0.05,0.42,2.85
525,548,12,2003.0,2,125,1.32,1.06,0.04,0.38,2.8
609,82,12,2001.0,6,5,1.13,1.12,0.06,0.22,2.52
610,368,8,2000.0,0,92,1.55,0.75,0.16,0.06,2.52
626,332,22,2013.0,10,129,2.1,0.2,0.0,0.17,2.47
633,209,22,2011.0,8,84,1.44,0.73,0.04,0.22,2.44
638,444,2,1998.0,4,111,1.26,0.61,0.46,0.08,2.42
646,288,24,2015.0,10,42,2.07,0.08,0.0,0.26,2.4
672,259,4,1995.0,4,92,0.69,0.14,1.48,0.05,2.36
675,134,4,1998.0,7,41,0.0,0.0,2.34,0.01,2.35
686,194,11,1997.0,0,129,0.79,1.35,0.04,0.14,2.32
701,578,1,2015.0,0,73,0.0,0.0,2.28,0.0,2.28
787,366,11,1998.0,7,116,0.94,0.07,1.05,0.04,2.1
822,295,1,2013.0,7,92,0.89,0.57,0.46,0.13,2.06
861,446,3,2010.0,4,111,0.99,0.8,0.0,0.18,1.97
945,221,8,1998.0,9,92,0.83,0.06,0.93,0.0,1.83
973,315,12,2003.0,6,129,1.25,0.29,0.0,0.24,1.78
1092,519,11,2001.0,10,7,1.09,0.49,0.02,0.07,1.67
1123,256,22,2010.0,9,84,1.02,0.48,0.0,0.14,1.64
1150,89,20,2008.0,9,72,0.95,0.48,0.01,0.15,1.6
1152,117,12,2005.0,0,129,1.3,0.23,0.0,0.07,1.6
1168,263,22,2010.0,0,140,0.95,0.5,0.0,0.14,1.59
1196,290,22,2010.0,0,129,0.84,0.56,0.0,0.15,1.55
1236,573,9,1984.0,8,89,0.18,0.06,1.27,0.01,1.52
1237,330,11,1998.0,6,42,1.45,0.04,0.0,0.04,1.52
1319,31,24,2015.0,0,140,0.86,0.46,0.0,0.13,1.45
1368,267,15,2006.0,0,76,0.58,0.51,0.0,0.32,1.41
1374,113,7,1994.0,4,138,0.97,0.37,0.03,0.05,1.41
1389,78,12,2002.0,6,31,0.03,1.05,0.02,0.3,1.4
1401,532,23,2003.0,0,7,0.96,0.37,0.0,0.05,1.38
1422,263,13,2010.0,0,140,0.55,0.6,0.0,0.22,1.37
1502,236,12,2002.0,6,22,0.64,0.5,0.0,0.17,1.31
1508,416,11,1999.0,1,125,0.57,0.67,0.0,0.07,1.31
1514,58,23,2004.0,6,42,0.84,0.43,0.0,0.04,1.31
1554,507,10,2005.0,9,42,1.22,0.05,0.0,0.0,1.27
1569,33,11,1994.0,2,114,0.39,0.26,0.53,0.08,1.27
1570,577,1,2016.0,0,73,0.0,0.0,1.27,0.0,1.27
1611,464,23,2005.0,0,7,0.82,0.38,0.0,0.04,1.24
1615,353,23,2004.0,0,84,0.92,0.2,0.07,0.04,1.23
1691,505,5,2003.0,6,125,0.86,0.32,0.0,0.02,1.19
1722,22,13,2008.0,8,42,0.74,0.26,0.02,0.15,1.17
1756,488,11,1997.0,6,41,0.65,0.44,0.0,0.08,1.16
1777,122,6,2003.0,3,92,0.5,0.16,0.46,0.03,1.15
1784,9,11,2000.0,0,129,0.64,0.43,0.0,0.07,1.14
1788,225,13,2007.0,10,114,0.31,0.03,0.76,0.04,1.14
1818,129,22,2011.0,0,42,0.72,0.3,0.01,0.09,1.12
1858,580,4,1999.0,11,72,0.0,0.0,1.1,0.0,1.1
1861,162,9,1989.0,7,89,0.0,0.0,1.1,0.0,1.1
1888,100,11,1997.0,9,126,0.0,0.0,1.02,0.07,1.09
1894,447,22,2010.0,6,111,0.74,0.26,0.0,0.09,1.09
1910,103,13,2011.0,6,31,0.27,0.59,0.01,0.21,1.08
1951,308,22,2008.0,8,42,0.65,0.3,0.01,0.1,1.06
1953,231,12,2003.0,0,136,0.52,0.41,0.0,0.14,1.06
1955,339,8,1998.0,10,86,1.02,0.04,0.0,0.01,1.06
1959,104,10,2001.0,7,139,1.03,0.02,0.0,0.0,1.06
1986,326,20,2009.0,1,42,0.62,0.32,0.0,0.1,1.05
2000,88,12,2006.0,9,72,0.87,0.03,0.0,0.14,1.04
2004,247,11,1998.0,6,5,0.91,0.1,0.0,0.03,1.04
2005,265,22,2009.0,0,7,0.62,0.33,0.0,0.09,1.04
2027,56,22,2011.0,8,42,0.61,0.32,0.01,0.08,1.02
2030,518,22,2007.0,8,135,0.87,0.05,0.02,0.08,1.02
2046,448,1,2011.0,4,111,0.44,0.46,0.01,0.09,1.01
2078,555,20,2010.0,3,125,0.89,0.04,0.0,0.06,1.0
2109,572,20,2010.0,7,92,0.49,0.26,0.16,0.08,0.98
2114,330,8,1998.0,6,42,0.94,0.04,0.0,0.01,0.98
2128,485,3,2006.0,9,89,0.09,0.02,0.86,0.01,0.98
2141,333,22,2015.0,10,129,0.77,0.1,0.0,0.1,0.97
2145,121,0,1981.0,4,16,0.9,0.05,0.0,0.01,0.97
2171,371,1,2011.0,9,92,0.4,0.36,0.13,0.07,0.96
2219,280,12,2006.0,10,114,0.78,0.03,0.0,0.13,0.94
2253,143,13,2010.0,10,42,0.52,0.28,0.0,0.12,0.92
2269,449,6,2006.0,6,111,0.71,0.18,0.0,0.03,0.92
2319,156,20,2008.0,10,42,0.29,0.52,0.0,0.09,0.9
2370,309,15,2004.0,11,72,0.32,0.26,0.12,0.17,0.88
2394,520,12,2006.0,10,7,0.72,0.03,0.0,0.12,0.87
2409,484,13,2012.0,7,89,0.2,0.15,0.45,0.07,0.87
2426,2,22,2010.0,10,42,0.32,0.43,0.02,0.09,0.86
2488,45,16,2014.0,8,129,0.43,0.21,0.01,0.19,0.83
2533,133,4,2000.0,7,44,0.0,0.0,0.81,0.0,0.81
2534,114,3,2006.0,0,39,0.73,0.03,0.0,0.06,0.81
2547,383,22,2009.0,10,72,0.12,0.58,0.03,0.08,0.81
2618,94,22,2013.0,0,36,0.44,0.27,0.01,0.07,0.79
2638,392,3,2009.0,5,135,0.41,0.3,0.0,0.07,0.78
2648,536,22,2011.0,10,125,0.53,0.19,0.0,0.06,0.78
2655,245,6,2002.0,8,42,0.6,0.16,0.0,0.02,0.78
2667,350,15,2008.0,6,42,0.23,0.32,0.03,0.19,0.77
2696,468,11,1995.0,2,138,0.17,0.11,0.43,0.05,0.76
2773,296,1,2015.0,7,92,0.16,0.3,0.25,0.04,0.74
2868,141,13,2007.0,0,130,0.18,0.08,0.41,0.04,0.71
2893,547,15,2010.0,2,125,0.22,0.31,0.0,0.17,0.71
2902,455,15,2005.0,0,7,0.35,0.21,0.0,0.14,0.71
2919,240,23,2005.0,7,84,0.48,0.19,0.0,0.03,0.7
2928,18,15,2005.0,4,114,0.52,0.01,0.12,0.05,0.7
2955,442,13,2014.0,0,7,0.24,0.33,0.0,0.12,0.69
2988,224,15,2007.0,10,114,0.21,0.11,0.28,0.08,0.68
3000,399,20,2006.0,8,135,0.55,0.04,0.04,0.05,0.68
3027,481,20,2008.0,3,89,0.0,0.0,0.67,0.0,0.67
3038,480,20,2008.0,5,135,0.18,0.41,0.0,0.08,0.67
3047,370,3,2007.0,1,26,0.33,0.05,0.25,0.04,0.67
3049,46,13,2014.0,8,129,0.25,0.26,0.05,0.11,0.67
3108,321,12,2002.0,6,135,0.32,0.25,0.0,0.08,0.65
3112,137,3,2009.0,5,125,0.45,0.14,0.0,0.06,0.65
3124,302,11,2000.0,1,5,0.36,0.24,0.0,0.04,0.65
3133,425,13,2010.0,0,26,0.17,0.04,0.4,0.03,0.65
3144,305,23,2003.0,8,129,0.47,0.15,0.0,0.02,0.64
3204,213,3,2009.0,0,42,0.21,0.35,0.0,0.07,0.63
3218,528,22,2009.0,8,7,0.34,0.23,0.0,0.06,0.63
3237,346,6,2002.0,3,89,0.48,0.13,0.0,0.02,0.63
3310,207,23,2005.0,8,42,0.37,0.21,0.0,0.03,0.61
3356,397,12,2001.0,6,135,0.29,0.23,0.0,0.08,0.6
3399,340,11,2000.0,10,86,0.33,0.22,0.0,0.04,0.59
3437,258,18,1994.0,10,92,0.0,0.0,0.59,0.0,0.59
3455,508,10,2009.0,9,42,0.02,0.18,0.0,0.39,0.58
3462,419,11,2000.0,10,0,0.32,0.22,0.0,0.04,0.58
3484,334,22,2006.0,10,129,0.53,0.0,0.0,0.04,0.58
3550,49,3,2007.0,1,125,0.29,0.22,0.0,0.06,0.57
3551,393,23,2002.0,6,84,0.39,0.16,0.0,0.02,0.57
3608,286,20,2008.0,0,7,0.32,0.18,0.0,0.05,0.56
3686,521,11,1996.0,3,83,0.3,0.21,0.0,0.04,0.55
3715,417,12,2004.0,6,89,0.26,0.21,0.0,0.07,0.54
3776,186,11,1999.0,4,41,0.3,0.2,0.0,0.03,0.53
3778,42,23,2004.0,10,86,0.4,0.11,0.0,0.02,0.53
3813,32,16,2013.0,0,140,0.2,0.2,0.0,0.13,0.53
3822,362,11,2000.0,3,14,0.0,0.0,0.49,0.03,0.53
3892,451,15,2009.0,2,89,0.12,0.2,0.07,0.12,0.51
3896,192,22,2011.0,8,7,0.25,0.21,0.0,0.05,0.51
3911,292,22,2010.0,10,129,0.47,0.0,0.0,0.04,0.51
3917,86,11,1996.0,11,20,0.0,0.0,0.48,0.03,0.51
3928,213,15,2009.0,0,42,0.18,0.21,0.0,0.12,0.51
3944,199,24,2015.0,3,7,0.29,0.17,0.0,0.05,0.51
3949,489,5,2004.0,0,125,0.36,0.13,0.0,0.01,0.5
3952,449,12,2006.0,6,111,0.42,0.02,0.0,0.07,0.5
3955,316,0,1983.0,0,16,0.47,0.03,0.0,0.01,0.5
4048,131,22,2008.0,2,16,0.24,0.18,0.03,0.05,0.49
4052,239,17,1997.0,10,111,0.0,0.0,0.49,0.0,0.49
4105,144,11,1999.0,2,5,0.27,0.18,0.0,0.03,0.48
4114,424,12,2003.0,9,76,0.24,0.18,0.0,0.06,0.48
4118,338,12,2008.0,10,42,0.4,0.02,0.0,0.07,0.48
4139,160,22,2006.0,10,42,0.19,0.27,0.01,0.0,0.48
4151,337,8,1998.0,10,42,0.45,0.02,0.0,0.0,0.47
4178,226,12,2002.0,6,125,0.23,0.18,0.0,0.06,0.47
4197,409,22,2011.0,0,111,0.28,0.13,0.01,0.04,0.47
4210,66,12,2009.0,6,125,0.27,0.03,0.0,0.17,0.47
4235,81,20,2011.0,3,54,0.44,0.0,0.0,0.03,0.46
4253,439,12,2007.0,3,114,0.23,0.18,0.0,0.06,0.46
